timestamp,mode,ldr,light,voltage,current,power,fault,fault_name,pwm
916820,NIGHT,8,0,11.88,0.234,2.78,0,NORMAL,255
917830,NIGHT,12,1,11.78,0.263,3.099,0,NORMAL,255
918840,NIGHT,12,1,11.53,0.245,2.821,0,NORMAL,255
919849,NIGHT,10,0,11.8,0.263,3.105,0,NORMAL,255
920859,NIGHT,11,1,11.88,0.266,3.156,0,NORMAL,255
921869,NIGHT,8,0,11.58,0.245,2.833,0,NORMAL,255
922880,NIGHT,10,0,11.83,0.21,2.487,0,NORMAL,255
923889,NIGHT,9,0,11.78,0.231,2.726,0,NORMAL,255
924899,NIGHT,11,1,11.8,0.237,2.794,0,NORMAL,255
925908,NIGHT,10,0,11.75,0.263,3.093,0,NORMAL,255
926918,NIGHT,10,0,11.78,0.271,3.192,0,NORMAL,255
927928,NIGHT,10,0,11.8,0.3,3.542,0,NORMAL,255
928937,NIGHT,11,1,11.88,0.208,2.466,0,NORMAL,255
929947,NIGHT,10,0,11.9,0.213,2.534,0,NORMAL,255
930957,NIGHT,8,0,11.75,0.284,3.341,0,NORMAL,255
931966,NIGHT,11,1,11.78,0.268,3.161,0,NORMAL,255
932976,NIGHT,10,0,11.58,0.258,2.986,0,NORMAL,255
933986,NIGHT,11,1,11.61,0.242,2.809,0,NORMAL,255
934995,NIGHT,11,1,11.8,0.268,3.168,0,NORMAL,255
936005,NIGHT,12,1,11.75,0.258,3.031,0,NORMAL,255
937015,NIGHT,11,1,11.78,0.223,2.632,0,NORMAL,255
938024,NIGHT,9,0,11.71,0.247,2.894,0,NORMAL,255
939034,NIGHT,12,1,11.85,0.276,3.275,0,NORMAL,255
940044,NIGHT,11,1,11.8,0.239,2.825,0,NORMAL,255
941053,NIGHT,11,1,11.75,0.279,3.279,0,NORMAL,255
